127.0.0.1, 2014-02-19 11:10:10, GET, /, HTTP/1.1, 303, 0.002158
127.0.0.1, 2014-02-19 11:10:11, GET, /welcome/default/index, HTTP/1.1, 200, 0.178239
127.0.0.1, 2014-02-19 11:10:14, GET, /admin/default/index, HTTP/1.1, 200, 0.083740
127.0.0.1, 2014-02-19 11:10:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2014-02-19 11:10:16, POST, /admin/default/index, HTTP/1.1, 303, 0.032318
127.0.0.1, 2014-02-19 11:10:16, GET, /admin/default/site, HTTP/1.1, 200, 0.039356
127.0.0.1, 2014-02-19 11:10:16, GET, /admin/static/_2.7.3/images/folder_locked.png, HTTP/1.1, 200, 0.001266
127.0.0.1, 2014-02-19 11:10:16, GET, /admin/static/_2.7.3/images/folder.png, HTTP/1.1, 200, 0.000859
127.0.0.1, 2014-02-19 11:10:16, GET, /admin/static/_2.7.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000627
127.0.0.1, 2014-02-19 11:10:16, POST, /admin/default/check_version, HTTP/1.1, 200, 0.154993
127.0.0.1, 2014-02-19 11:10:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000423
127.0.0.1, 2014-02-19 11:10:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000234
127.0.0.1, 2014-02-19 11:10:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000226
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/default/index, HTTP/1.1, 200, 0.081416
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000827
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 200, 0.001342
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 200, 0.001908
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002200
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 200, 0.007584
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001478
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 200, 0.006490
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000688
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 200, 0.001931
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000513
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000582
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 200, 0.001208
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 200, 0.000979
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 200, 0.000840
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 200, 0.001784
127.0.0.1, 2014-02-19 11:10:18, GET, /CostEstimate/static/images/favicon.ico, HTTP/1.1, 200, 0.000507
127.0.0.1, 2014-02-19 11:10:27, GET, /CostEstimate/index, HTTP/1.1, 404, 0.012151
127.0.0.1, 2014-02-19 11:10:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2014-02-19 11:10:33, GET, /CostEstimate/addresses, HTTP/1.1, 200, 0.042487
127.0.0.1, 2014-02-19 11:10:37, GET, /CostEstimate/address, HTTP/1.1, 404, 0.010572
127.0.0.1, 2014-02-19 11:10:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000230
127.0.0.1, 2014-02-19 11:10:40, GET, /CostEstimate/addresses, HTTP/1.1, 200, 0.040544
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/addresses, HTTP/1.1, 200, 0.041133
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000692
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.000478
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000482
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000389
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000381
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000490
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001699
127.0.0.1, 2014-02-19 11:11:12, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001256
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002385
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.001021
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000673
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001912
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.000499
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.002048
127.0.0.1, 2014-02-19 11:11:13, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.001424
127.0.0.1, 2014-02-19 11:11:17, GET, /CostEstimate/addresses/index, HTTP/1.1, 200, 0.054694
127.0.0.1, 2014-02-19 11:12:09, GET, /, HTTP/1.1, 303, 0.002487
127.0.0.1, 2014-02-19 11:12:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.167778
127.0.0.1, 2014-02-19 11:12:16, GET, /addresses, HTTP/1.1, 404, 0.000612
